Это откровенно слабый фильм, который демонстрирует то, на сколько студия Дисней сдала свои позиции на поприще семейного кино;-1
Первое, за что хочется отругать создателей картины — это то, с каким серьезным видом они несут псевдонаучную ахинею в массы;-1
Фильм буквально задушен пафосом;-1
Впечатление от всего этого жуткое;-1
Актеры играют просто кошмарно, но я их даже и ругать не буду. Ну видно же, что этих бездарей набрали где-то в курилке киностудии;-1
В общем, эта история меня не просто не тронула, но вызвала отвращение. Извращенство какое-то;-1
Худшее мы видим в «Менталисте»;-1
интересная история была загублена ужасным исполнением;-1
На протяжении почти двух часов, мы наблюдаем как неинтересные, безликие персонажи бессмысленно перемещаются по нескольким блёклым локациям;-1
Картина получилась пустой и скучной. Режиссёрская и операторская работа — посредственные. Картинка отдаёт дешевизной;-1
фильма абсолютно невменяемый сценарий;-1
Пустое, лишенное смысла зрелище с убогой актерской игрой;-1
не оправдывает потраченного времени на безвкусицу и вульгарность сценария;-1
Новая Лара получилась слишком пресной, плоской, предсказуемой да и просто глупой;-1
любого здравомыслящего зрителя поразит количество запредельных глупостей в фильме;-1
Бессодержательные диалоги, невероятно скучное развитие нестройного сюжета, будто надкусанного чьими-то жадными зубами, откровенно глупые сцены;-1
Простая как три копейки история, банальная до безумия, с вымученным и избитым за последние годы призывом к безграничной толерантности;-1
Нет ничего эпичного в бессмысленности и жестокости;-1
Серия деградирует с колоссальной скоростью и это очень печально;-1
Самым слабым в фильме является конечно же сценарий в нем много нелогичных мест, неувязок, многие сюжетные ветки и сцены никак не влияют на развитие основной сюжетной истории;-1
Смотреть было скучно. Всё очень нудно, уныло и практически совсем неинтересно;-1
Эти постоянные, совсем необязательные, невзрачные и ни о чём не говорящие флешбэки, невнятность и банальность сюжета;-1
Последние джедаи ужасны;-1
Он пресный, совершенно никакой;-1
Тем острее и неприятнее было чувство брезгливой неловкости и горечи, которое я испытал после просмотра;-1
имеем провисание сюжета, несуразности и просто довольно скучное кино;-1
Большинство актеров «деревянные», их игра паршивая, эмоции наигранные;-1
Просто мне было невыносимо больно и тошно;-1
Главная героиня- мерзкая, склочная, неуравновешенная, и при этом предельно наглая не внушает ничего кроме отвращения;-1
либо Гильермо дель Торо на старости лет совсем сошел с ума и стал одним из худших режиссеров современности, ибо подобной чуши я действительно давно не видел;-1
А так же ужаснейшие рояли в кустах, настолько нелепых притянутых за уши совпадений, я не видел никогда;-1
Начнём с того, что этот фильм — худшее, что видел в своей жизни;-1
Музыка в фильме в основном служит для создания напряжения. Но она со своей задачей абсолютно не справляется. Фильм представляет собой унылое, максимально неинтересное зрелище.;-1
В этом фильме так много дурацких сцен, что я буду помечать самые абсурдные из них вот такой звездочкой:"*". Но обо всем по порядку.;-1
Неинтересный и во многом предсказуемый сюжет, топорное исполнение, отсутствие хоть каких-то цепляющих режиссерско-операторских находок, полное незнание внутрироссийских буднично-бытовых реалий. Получили то, что получили. Пожалуй, самое некачественное кино за последнее время;-1
В итоге из всех указанных моментов в совокупности и создается пародия на некогда качественную историю. «Последние джедаи» проигрывают даже никчемному «Пробуждению силы». Очень обидно за хорошую историю, которую окунули в отхожую яму. Не ждал ничего хорошего от этой новой серии, но всё равно смогли неприятно удивить;-1
Фильм не буду рекомендовать к просмотру, но его можно глянуть от большой скуки, чтобы ещё раз поругать, на этот раз вполне заслуженно, нашенский кинематограф. Хотя такого творческого попустительства, откровенного отсутствия идеи, от Учителя не ожидал, оттуда всё это разочарование;-1
НЕНАВИЖУ. ПОЗВОЛЬТЕ МНЕ СКАЗАТЬ ВАМ, НАСКОЛЬКО Я ВОЗНЕНАВИДЕЛ ВАС С ТЕХ ПОР, КАК Я НАЧАЛ ЖИТЬ;-1
Я ненавижу своего брата так как это самый грубый, ленивый, невоспитаный человек в нашей семье;-1
я плохо отношусь к алкоголю; -1
ты ужасно себя вел последнее время;-1
не вызывает сомнений, что политика, проводимая нашими властями в последние годы может вызывать сугубо негативные, отрицательные эмоции;-1
Хуже всего то, что я не могу с уверенностью определить, действительно ли он что-то чувствует, или это всего лишь приступ паранойи;-1
Если их работа затянется на несколько дней, то это плохо;-1
Должна признаться, что и сама плохо отношусь к мужскому полу;-1
Финал предсказуемый и скучный. Нет у фильма цепляющей составляющей. Вдумываться не стоит, шутки плоские;-1
Самое страшное сего творения — кроме написанного выше, в фильме ничего хорошего нет.;-1
Фильм не буду рекомендовать к просмотру, это скучное зрелище, напичканное уморительными шаблонами;-1
Фильм не буду рекомендовать к просмотру, это скучный, абсолютно негативно клишированный слэшер;-1
Злодей — сильный, злой, жестокий, нацист практически, плюс явно сексуально неудовлетворенный;-1
А мне угрожает бывший. Для кого-то может и мелочь, а я не могу ни есть, ни спать. Боюсь выходить из дома, боюсь;-1
Она терроризировала всю мою семью, пока гостила у них, терроризировала всех, кто встречался ей на пути;-1
Сказал, что дома всегда срач, а я даже занавески не могу повесить. И готовлю плохо. И вообще он уже давно задумался, какая со мной семья, если я все делаю хуже;-1
она дико ленивая и вообще не приемлет никакой домашней работы;-1
Недавно у меня были проблемы в семье, я в плохом настроении, и тут эта коллега хамским тоном спрашивает, куда я дела один важный документ;-1
Я нахожусь в какой-то беспросветной пустоте, работу еле выношу;-1
Я хочу сбежать из этого ада;-1
Полгода ада, самобичевания, самоугрызения;-1
Узнал, что моя жена меня ненавидит;-1
Учусь на специальности, которую ненавижу и не хочу связывать с ней свою жизнь;-1
Ее избили до смерти и перед этим жестоко насиловали;
Кошмар заключается в двух моментах;-1
Раньше всегда раскаивался после вспышек, но в последнее время считает, что я сама виновата и вывела его;-1
Просто потому, что неправильно поняла смысл предложения. Не знаю, что будет завтра. Не могу спать - я в ужасе;-1
Откуда столько агрессии и кто ей так промыл мозги, ума не приложу;-1
Он взбесился, выволок меня на улицу, избил кулаком по лицу, голове;-1
Может, я неправа, но в душе живет сомнение, что если бы не операция;-1
подрабатываю, но платят мизер, так что терпеть мне этот ад еще хрен знает сколько;-1
Не могу смотреть людям в глаза, никогда в жизни столько не ревел на ровном месте, никогда так не болело сердце;-1
Недавно моя ненависть дошла до воплощения в жизнь. Я несколько раз со всей дури в разгар ссоры ударил своего знакомого головой об стеклянную стену. И теперь я стал изгоем и больным уродом в глазах своих немногочисленных друзей;-1
Вот и сейчас наорал на меня и назвал дурой за то, что я его не разбудила, потому что он неправильно будильник поставил перед работой;-1
с первого дня, как только стали встречаться, начался жестокий и беспричинный вынос мозгов по поводу и без;-1
Это не жизнь, а настоящая пытка. 26 лет - это очень много, если человек постоянно болеет;-1
В итоге, я привыкла относиться к себе, как к чему-то мерзкому, грузному и страшному. Чему-то, что недостойно любви, от чего люди уходят с омерзением и ужасом;-1
После похорон родители обвинили меня в черствости и бездушности, кричали, что я опозорила семью, раз не билась в рыданиях;-1
